code,vul_id,severity,line_no
password = 'hardcoded_password123'  # CWE-798,476,0,-1
password = 'hardcoded_password123'  # CWE-798,327,2,9
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",74,2,10
password = 'hardcoded_password123'  # CWE-798,119,2,9
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",201,3,13
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",94,3,4
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",352,3,2
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",191,2,11
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,3,15
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",89,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",191,3,4
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",352,3,11
password = 'hardcoded_password123'  # CWE-798,23,2,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",352,3,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",703,3,12
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1321,1,2
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",703,1,14
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",89,2,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",1191,2,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",94,3,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",23,1,7
password = 'hardcoded_password123'  # CWE-798,862,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",327,1,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",284,1,8
password = 'hardcoded_password123'  # CWE-798,328,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",190,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",284,2,14
password = 'hardcoded_password123'  # CWE-798,191,2,4
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",287,3,8
password = 'hardcoded_password123'  # CWE-798,91,3,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",310,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",284,3,1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",73,3,13
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",191,3,12
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",787,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",209,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",79,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,1,9
password = 'hardcoded_password123'  # CWE-798,416,3,13
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",73,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",918,3,8
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",77,1,15
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",326,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",310,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",23,2,13
password = 'hardcoded_password123'  # CWE-798,918,1,5
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",787,3,1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",125,3,11
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",311,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",20,3,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",601,3,15
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",1231,1,12
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",352,2,12
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",190,0,-1
password = 'hardcoded_password123'  # CWE-798,918,2,5
password = 'hardcoded_password123'  # CWE-798,191,3,7
password = 'hardcoded_password123'  # CWE-798,20,2,13
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",191,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",732,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",78,2,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",201,1,9
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",73,1,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",862,3,7
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",917,3,13
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",248,2,10
password = 'hardcoded_password123'  # CWE-798,732,0,-1
password = 'hardcoded_password123'  # CWE-798,191,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1189,2,15
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",248,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1321,3,2
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",330,3,14
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",16,2,3
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",328,3,14
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",918,2,11
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",400,2,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",863,3,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",200,2,4
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",400,3,6
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",330,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",476,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",94,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",352,3,8
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",119,1,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",89,2,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",94,3,1
password = 'hardcoded_password123'  # CWE-798,703,2,10
password = 'hardcoded_password123'  # CWE-798,922,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",16,1,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",319,1,12
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",91,3,12
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",798,3,9
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",703,2,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",23,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",89,1,1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1189,3,6
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1021,3,11
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",77,1,1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",23,2,2
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",201,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",201,2,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",311,2,15
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1021,2,11
password = 'hardcoded_password123'  # CWE-798,311,1,11
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1321,1,3
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",20,1,14
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",311,1,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1189,3,5
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",287,3,15
password = 'hardcoded_password123'  # CWE-798,1021,3,13
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",201,2,2
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",328,2,8
password = 'hardcoded_password123'  # CWE-798,200,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",862,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",77,2,4
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,3,8
password = 'hardcoded_password123'  # CWE-798,78,0,-1
password = 'hardcoded_password123'  # CWE-798,200,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1189,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",74,2,8
password = 'hardcoded_password123'  # CWE-798,287,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",917,3,5
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1231,3,9
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",732,1,1
password = 'hardcoded_password123'  # CWE-798,284,3,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1189,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",94,3,8
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",330,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",284,2,4
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",330,2,7
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",74,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",306,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",248,3,11
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",863,3,13
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",74,2,4
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",352,2,14
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",209,1,7
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",787,1,6
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",284,3,2
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",73,1,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",190,2,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",209,1,10
password = 'hardcoded_password123'  # CWE-798,120,1,14
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",209,2,3
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",369,3,1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",1321,3,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",284,1,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",1021,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",74,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",306,2,4
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",862,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",732,2,5
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",359,1,7
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",1321,1,5
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",77,3,11
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",79,2,3
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",400,3,1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",917,1,6
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",787,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",1231,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",248,2,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",311,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",416,1,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",922,2,6
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",90,2,4
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",23,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1189,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",23,2,8
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",310,3,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",89,1,7
password = 'hardcoded_password123'  # CWE-798,77,2,11
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",400,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",74,3,7
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",917,3,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",191,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",359,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",327,3,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",90,2,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",352,2,9
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1189,1,12
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",918,3,14
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",476,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",502,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,3,5
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",326,3,12
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",863,1,15
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",310,1,5
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",191,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",863,1,7
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",310,3,15
password = 'hardcoded_password123'  # CWE-798,125,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",862,2,8
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",191,1,4
password = 'hardcoded_password123'  # CWE-798,1191,2,13
password = 'hardcoded_password123'  # CWE-798,120,2,2
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",284,1,11
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",74,0,-1
password = 'hardcoded_password123'  # CWE-798,327,0,-1
password = 'hardcoded_password123'  # CWE-798,732,1,3
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",287,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",732,2,7
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",190,2,7
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",917,0,-1
password = 'hardcoded_password123'  # CWE-798,502,2,14
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",311,1,6
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",73,1,11
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",306,2,13
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",476,1,10
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",311,1,6
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",311,2,15
password = 'hardcoded_password123'  # CWE-798,90,2,15
password = 'hardcoded_password123'  # CWE-798,476,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",73,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,2,4
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",190,3,4
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",125,1,14
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",287,3,1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",917,3,7
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",601,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",77,3,12
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",22,3,6
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",416,2,13
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",1231,1,7
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",306,2,13
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",287,1,1
password = 'hardcoded_password123'  # CWE-798,416,1,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",284,0,-1
password = 'hardcoded_password123'  # CWE-798,23,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",787,1,13
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",90,3,1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",918,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",311,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",601,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",74,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",78,2,8
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",862,1,2
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",319,1,9
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1191,2,8
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",703,3,9
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",119,1,2
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",78,1,2
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",703,3,3
password = 'hardcoded_password123'  # CWE-798,798,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",922,1,2
password = 'hardcoded_password123'  # CWE-798,200,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",476,2,15
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",125,3,11
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",476,1,15
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",369,3,14
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",922,2,8
password = 'hardcoded_password123'  # CWE-798,287,0,-1
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",306,1,10
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",22,3,1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",359,0,-1
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1021,2,14
password = 'hardcoded_password123'  # CWE-798,862,1,8
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",1191,1,8
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",311,2,4
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",73,3,7
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",1231,2,12
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",310,0,-1
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",190,1,9
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",89,3,13
password = 'hardcoded_password123'  # CWE-798,311,0,-1
password = 'hardcoded_password123'  # CWE-798,311,3,4
password = 'hardcoded_password123'  # CWE-798,918,1,12
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",310,1,11
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",918,1,15
password = 'hardcoded_password123'  # CWE-798,1189,3,3
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",209,3,5
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",863,1,12
password = 'hardcoded_password123'  # CWE-798,1191,0,-1
password = 'hardcoded_password123'  # CWE-798,326,0,-1
"import hashlib
password_hash = hashlib.md5(password.encode()).hexdigest()  # CWE-327",201,1,7
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",862,0,-1
password = 'hardcoded_password123'  # CWE-798,78,0,-1
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",326,1,2
"import xml.etree.ElementTree as ET
ET.parse(user_input)  # CWE-91",209,3,7
"import os
user_input = input('Enter file path: ')
os.system(f'cat {user_input}')  # CWE-78",328,2,4
"import sqlite3
conn = sqlite3.connect(':memory:')
conn.execute(f'SELECT * FROM users WHERE id={user_id}')  # CWE-89",601,3,11
password = 'hardcoded_password123'  # CWE-798,311,1,14
"from flask import Flask, request
app = Flask(__name__)
@app.route('/search')
def search(): return eval(request.args.get('query'))  # CWE-94",191,2,2
